lr-AdamW,step,train_loss_phi,train_loss_psi,train_loss_omega,train_loss_tau,train_loss_CA:C:1N,train_loss_C:1N:1CA,train_loss,epoch,val_loss_phi,val_loss_psi,val_loss_omega,val_loss_tau,val_loss_CA:C:1N,val_loss_C:1N:1CA,val_loss
1.85e-06,185,,,,,,,,,,,,,,,
,189,0.5143032670021057,0.6397584676742554,0.37837329506874084,0.3313477635383606,0.3706721365451813,0.35168951749801636,0.43102407455444336,37,,,,,,,
,189,,,,,,,,37,0.4534347951412201,0.6176556348800659,0.3320270776748657,0.2925456762313843,0.34394025802612305,0.3189055025577545,0.393084853887558
1.9e-06,190,,,,,,,,,,,,,,,
,194,0.44134896993637085,0.6288360953330994,0.3560844659805298,0.30830422043800354,0.3660135269165039,0.36040782928466797,0.4101658761501312,38,,,,,,,
,194,,,,,,,,38,0.46196654438972473,0.6024938821792603,0.36141860485076904,0.28479093313217163,0.346137672662735,0.33171844482421875,0.39808768033981323
1.95e-06,195,,,,,,,,,,,,,,,
,199,0.49587759375572205,0.6185566186904907,0.34966838359832764,0.3398984670639038,0.37126094102859497,0.3321439325809479,0.4179009795188904,39,,,,,,,
,199,,,,,,,,39,0.45559945702552795,0.6056516170501709,0.3367270231246948,0.2931371033191681,0.3321886658668518,0.3047632873058319,0.38801121711730957
2.0000000000000003e-06,200,,,,,,,,,,,,,,,
,204,0.4639977216720581,0.6201331615447998,0.35142603516578674,0.3278302252292633,0.35703667998313904,0.31795427203178406,0.40639635920524597,40,,,,,,,
,204,,,,,,,,40,0.49838510155677795,0.6219697594642639,0.3346717953681946,0.2932577133178711,0.3438757061958313,0.3144010901451111,0.4010935425758362
2.0500000000000003e-06,205,,,,,,,,,,,,,,,
,209,0.5063143968582153,0.647451639175415,0.3862011134624481,0.3788391947746277,0.3920046091079712,0.35662534832954407,0.44457268714904785,41,,,,,,,
,209,,,,,,,,41,0.41446933150291443,0.6078168153762817,0.30215924978256226,0.2519891858100891,0.29484784603118896,0.2804982364177704,0.35863012075424194
2.1000000000000002e-06,210,,,,,,,,,,,,,,,
,214,0.42259112000465393,0.5933263897895813,0.2798471450805664,0.23827232420444489,0.2820718288421631,0.2550782263278961,0.345197856426239,42,,,,,,,
,214,,,,,,,,42,0.42526182532310486,0.5893286466598511,0.2899475693702698,0.2201509028673172,0.25006982684135437,0.23038870096206665,0.3341912627220154
2.1499999999999997e-06,215,,,,,,,,,,,,,,,
,219,0.43873152136802673,0.6146385669708252,0.29880067706108093,0.23916620016098022,0.28666362166404724,0.26648572087287903,0.3574144244194031,43,,,,,,,
,219,,,,,,,,43,0.48146528005599976,0.6248282790184021,0.3262983560562134,0.2936711311340332,0.29156363010406494,0.27219900488853455,0.3816709518432617
2.2e-06,220,,,,,,,,,,,,,,,
,224,0.37793266773223877,0.5990832448005676,0.28037014603614807,0.2673552930355072,0.2558102309703827,0.24370740354061127,0.33737653493881226,44,,,,,,,
,224,,,,,,,,44,0.4077835977077484,0.5822653770446777,0.26278501749038696,0.23571497201919556,0.2506033480167389,0.2540334463119507,0.3321976363658905
2.25e-06,225,,,,,,,,,,,,,,,
,229,0.47497451305389404,0.6349009275436401,0.33270081877708435,0.2806735634803772,0.2775720953941345,0.3065696656703949,0.3845652937889099,45,,,,,,,
,229,,,,,,,,45,0.40442928671836853,0.6127433776855469,0.26830026507377625,0.22566275298595428,0.23034732043743134,0.23263584077358246,0.32901981472969055
2.3e-06,230,,,,,,,,,,,,,,,
,234,0.5361632108688354,0.6323184967041016,0.35909324884414673,0.30772730708122253,0.32627785205841064,0.30569911003112793,0.411213219165802,46,,,,,,,
,234,,,,,,,,46,0.40332096815109253,0.5784825086593628,0.23739992082118988,0.19603407382965088,0.23403923213481903,0.2334924340248108,0.3137948513031006
2.35e-06,235,,,,,,,,,,,,,,,
,239,0.5148822665214539,0.606532633304596,0.3376934230327606,0.28955790400505066,0.3073135018348694,0.32508188486099243,0.3968436121940613,47,,,,,,,
,239,,,,,,,,47,0.4399368166923523,0.592199444770813,0.28231269121170044,0.22877827286720276,0.25406399369239807,0.24522101879119873,0.3404187560081482
2.4000000000000003e-06,240,,,,,,,,,,,,,,,
,244,0.40391799807548523,0.5740413069725037,0.24151740968227386,0.21255099773406982,0.20906807482242584,0.20857740938663483,0.308278888463974,48,,,,,,,
,244,,,,,,,,48,0.43903157114982605,0.5927250385284424,0.24776116013526917,0.24472583830356598,0.2373245507478714,0.2446489930152893,0.3343695104122162
2.4500000000000003e-06,245,,,,,,,,,,,,,,,
,249,0.4232354462146759,0.5829289555549622,0.2905530631542206,0.2700079381465912,0.2700701355934143,0.26018476486206055,0.3494967222213745,49,,,,,,,
,249,,,,,,,,49,0.4254770278930664,0.5988806486129761,0.2668246030807495,0.23757626116275787,0.24982789158821106,0.24675972759723663,0.33755773305892944
2.5e-06,250,,,,,,,,,,,,,,,
,254,0.4158637821674347,0.5904421210289001,0.2716057598590851,0.24664930999279022,0.22963210940361023,0.23500031232833862,0.33153223991394043,50,,,,,,,
,254,,,,,,,,50,0.40797796845436096,0.5790631175041199,0.25902488827705383,0.22301477193832397,0.21867576241493225,0.23435382544994354,0.3203517198562622
2.55e-06,255,,,,,,,,,,,,,,,
,259,0.33188843727111816,0.5436663627624512,0.2150391787290573,0.21947264671325684,0.20656181871891022,0.24519315361976624,0.29363691806793213,51,,,,,,,
,259,,,,,,,,51,0.38907358050346375,0.5765048265457153,0.2175627499818802,0.19624240696430206,0.19941328465938568,0.2029026746749878,0.29694992303848267
2.6e-06,260,,,,,,,,,,,,,,,
,264,0.39998090267181396,0.5665125846862793,0.22301983833312988,0.2083072066307068,0.20910538733005524,0.20704016089439392,0.3023276925086975,52,,,,,,,
,264,,,,,,,,52,0.3981838524341583,0.5552998185157776,0.2304321676492691,0.20940904319286346,0.22014228999614716,0.19316142797470093,0.3011047840118408
2.65e-06,265,,,,,,,,,,,,,,,
,269,0.41785821318626404,0.5567283034324646,0.27869483828544617,0.24611078202724457,0.2348548322916031,0.24481168389320374,0.329843133687973,53,,,,,,,
,269,,,,,,,,53,0.33903196454048157,0.5562337040901184,0.22740665078163147,0.20563967525959015,0.21479979157447815,0.2074599713087082,0.29176196455955505
2.7e-06,270,,,,,,,,,,,,,,,
,274,0.4080517292022705,0.5671051144599915,0.28142258524894714,0.2321598380804062,0.24543403089046478,0.24285459518432617,0.32950466871261597,54,,,,,,,
,274,,,,,,,,54,0.41269630193710327,0.5860071778297424,0.2518596351146698,0.220489963889122,0.22821056842803955,0.2270287126302719,0.3210487365722656
2.7500000000000004e-06,275,,,,,,,,,,,,,,,
,279,0.3799101412296295,0.5824469923973083,0.2238864004611969,0.23621270060539246,0.20493784546852112,0.1923723816871643,0.30329442024230957,55,,,,,,,
,279,,,,,,,,55,0.41073474287986755,0.5752683877944946,0.24865996837615967,0.20685000717639923,0.2025861144065857,0.2083829939365387,0.3087470233440399
2.8000000000000003e-06,280,,,,,,,,,,,,,,,
,284,0.3257145285606384,0.49299484491348267,0.20001405477523804,0.17866909503936768,0.18973396718502045,0.17490613460540771,0.26033878326416016,56,,,,,,,
,284,,,,,,,,56,0.41059309244155884,0.5922071933746338,0.2412233054637909,0.22002285718917847,0.20285938680171967,0.2136813849210739,0.3134312033653259
2.8500000000000002e-06,285,,,,,,,,,,,,,,,
,289,0.3294062614440918,0.5227053761482239,0.22852158546447754,0.20375339686870575,0.2006826102733612,0.2223900556564331,0.2845765948295593,57,,,,,,,
,289,,,,,,,,57,0.35347557067871094,0.5187075138092041,0.21041341125965118,0.2063625007867813,0.19914478063583374,0.19640539586544037,0.2807515561580658
2.9e-06,290,,,,,,,,,,,,,,,
,294,0.4095754027366638,0.5800256729125977,0.2564716339111328,0.22790321707725525,0.2157638669013977,0.20495258271694183,0.3157820701599121,58,,,,,,,
,294,,,,,,,,58,0.3865174949169159,0.5450704097747803,0.2243584245443344,0.21986140310764313,0.20509576797485352,0.20855306088924408,0.2982427775859833
2.95e-06,295,,,,,,,,,,,,,,,
,299,0.35573917627334595,0.5354255437850952,0.2007317841053009,0.21375399827957153,0.20585964620113373,0.20175383985042572,0.2855440378189087,59,,,,,,,
,299,,,,,,,,59,0.40022361278533936,0.5495864748954773,0.2030177265405655,0.2031714916229248,0.20439191162586212,0.18719711899757385,0.29126474261283875
3e-06,300,,,,,,,,,,,,,,,
,304,0.4355054497718811,0.5870864391326904,0.2418392151594162,0.22222770750522614,0.23592613637447357,0.21949613094329834,0.32368022203445435,60,,,,,,,
,304,,,,,,,,60,0.3727901875972748,0.5510472655296326,0.20175008475780487,0.19052758812904358,0.18546657264232635,0.18263863027095795,0.2807033956050873
3.05e-06,305,,,,,,,,,,,,,,,
,309,0.3895588219165802,0.5573433637619019,0.2398812472820282,0.22384123504161835,0.2092723697423935,0.2058817595243454,0.30429646372795105,61,,,,,,,
,309,,,,,,,,61,0.3753017783164978,0.5594576597213745,0.214803084731102,0.17553302645683289,0.1837657392024994,0.19244474172592163,0.2835509777069092
3.1e-06,310,,,,,,,,,,,,,,,
,314,0.437787801027298,0.5750555992126465,0.30333083868026733,0.27313148975372314,0.27823880314826965,0.2738340497016907,0.35689646005630493,62,,,,,,,
,314,,,,,,,,62,0.3607507646083832,0.5351020097732544,0.208861842751503,0.17864222824573517,0.21289928257465363,0.1912737786769867,0.28125500679016113
3.1500000000000003e-06,315,,,,,,,,,,,,,,,
,319,0.3716525733470917,0.5496959686279297,0.21736082434654236,0.1833590716123581,0.19234146177768707,0.19527564942836761,0.28494760394096375,63,,,,,,,
,319,,,,,,,,63,0.3649097979068756,0.5632259249687195,0.20130065083503723,0.18725033104419708,0.17814068496227264,0.1742893010377884,0.2781861424446106
3.2000000000000003e-06,320,,,,,,,,,,,,,,,
,324,0.44478359818458557,0.6065635681152344,0.23184089362621307,0.220694437623024,0.21890410780906677,0.21793751418590546,0.32345402240753174,64,,,,,,,
,324,,,,,,,,64,0.3692391812801361,0.520500659942627,0.2028259038925171,0.19122646749019623,0.17868685722351074,0.18852156400680542,0.275166779756546
3.2500000000000002e-06,325,,,,,,,,,,,,,,,
,329,0.35257524251937866,0.5524742603302002,0.21787810325622559,0.19454392790794373,0.19310025870800018,0.20794333517551422,0.28641921281814575,65,,,,,,,
,329,,,,,,,,65,0.4362929165363312,0.5642486214637756,0.24778121709823608,0.22312386333942413,0.22730252146720886,0.2301435023546219,0.3214821219444275
3.3e-06,330,,,,,,,,,,,,,,,
,334,0.3751544952392578,0.5592760443687439,0.20492853224277496,0.1801396608352661,0.189270481467247,0.20561477541923523,0.28573065996170044,66,,,,,,,
